commodity_group,departure_date,destination,volume,Date
Oil products,2022-11-11T00:00:00Z,EU,1.141976593,11/11/2022
Oil products,2022-11-12T00:00:00Z,EU,1.116922197,11/12/2022
Oil products,2022-11-13T00:00:00Z,EU,1.120481678,11/13/2022
Oil products,2022-11-14T00:00:00Z,EU,1.158861413,11/14/2022
Oil products,2022-11-15T00:00:00Z,EU,1.149746855,11/15/2022
Oil products,2022-11-16T00:00:00Z,EU,1.158239142,11/16/2022
Oil products,2022-11-17T00:00:00Z,EU,1.155843845,11/17/2022
Oil products,2022-11-18T00:00:00Z,EU,1.181275043,11/18/2022
Oil products,2022-11-19T00:00:00Z,EU,1.16139137,11/19/2022
Oil products,2022-11-20T00:00:00Z,EU,1.19444216,11/20/2022
Oil products,2022-11-21T00:00:00Z,EU,1.233674533,11/21/2022
Oil products,2022-11-22T00:00:00Z,EU,1.268297238,11/22/2022
Oil products,2022-11-23T00:00:00Z,EU,1.269400086,11/23/2022
Oil products,2022-11-24T00:00:00Z,EU,1.261637406,11/24/2022
Oil products,2022-11-25T00:00:00Z,EU,1.239330442,11/25/2022
Oil products,2022-11-26T00:00:00Z,EU,1.257652459,11/26/2022
Oil products,2022-11-27T00:00:00Z,EU,1.268846175,11/27/2022
Oil products,2022-11-28T00:00:00Z,EU,1.264190848,11/28/2022
Oil products,2022-11-29T00:00:00Z,EU,1.262458953,11/29/2022
Oil products,2022-11-30T00:00:00Z,EU,1.264752414,11/30/2022
Oil products,2022-12-01T00:00:00Z,EU,1.272866336,12/1/2022
Oil products,2022-12-02T00:00:00Z,EU,1.258690019,12/2/2022
Oil products,2022-12-03T00:00:00Z,EU,1.196905296,12/3/2022
Oil products,2022-12-04T00:00:00Z,EU,1.207310313,12/4/2022
Oil products,2022-12-05T00:00:00Z,EU,1.211424596,12/5/2022
Oil products,2022-12-06T00:00:00Z,EU,1.213475811,12/6/2022
Oil products,2022-12-07T00:00:00Z,EU,1.230628065,12/7/2022
